Date,ACWI,AGG,MTUM,QUAL,USMV
2015-11-05,47.726661682128906,81.46509552001953,65.33512878417969,56.607452392578125,34.7218132019043
2015-11-06,47.57183074951172,81.07571411132812,64.92861938476562,56.62456512451172,34.44157791137695
2015-11-09,47.05847930908203,81.02330780029297,64.34537506103516,55.999874114990234,34.19434356689453
2015-11-10,47.09920883178711,81.17305755615234,64.79607391357422,56.11967086791992,34.35917282104492
2015-11-11,47.017723083496094,81.06816101074219,64.70771026611328,55.98273849487305,34.35093307495117
2015-11-12,46.44731140136719,81.14305114746094,63.832794189453125,55.20402908325195,33.947086334228516
2015-11-13,45.966548919677734,81.30037689208984,62.78993225097656,54.53654098510742,33.64213943481445
2015-11-16,46.585845947265625,81.36773681640625,63.60298156738281,55.36661911010742,34.13665008544922
2015-11-17,46.602142333984375,81.42771911621094,63.85927963256836,55.383724212646484,34.095436096191406
2015-11-18,47.14809799194336,81.36773681640625,64.95510864257812,56.24803161621094,34.49103546142578
2015-11-19,47.270328521728516,81.40522766113281,64.55744934082031,56.26515579223633,34.49927520751953
2015-11-20,47.37626647949219,81.35279846191406,65.19375610351562,56.53899002075195,34.589935302734375
2015-11-23,47.1888542175293,81.37528228759766,65.33512878417969,56.598876953125,34.589935302734375
2015-11-24,47.22959518432617,81.45018005371094,65.26443481445312,56.63309860229492,34.598182678222656
2015-11-25,47.270328521728516,81.4876480102539,65.48535919189453,56.6759033203125,34.60642623901367
2015-11-27,47.20515060424805,81.46509552001953,65.62678527832031,56.74435806274414,34.67234420776367
2015-11-30,47.066619873046875,81.49505615234375,65.03466796875,56.45342254638672,34.50751495361328
2015-12-01,47.531097412109375,81.78067016601562,65.7858657836914,56.829933166503906,34.87839889526367
2015-12-02,47.050315856933594,81.68296813964844,65.44121551513672,56.38496398925781,34.548728942871094
2015-12-03,46.5287971496582,81.0817642211914,64.37187957763672,55.53776168823242,34.095436096191406
2015-12-04,47.19699478149414,81.34479522705078,65.7858657836914,56.77858352661133,34.77949142456055
2015-12-07,46.78956604003906,81.46504211425781,65.51187133789062,56.4876594543457,34.7218132019043
2015-12-08,46.32508087158203,81.49506378173828,65.58258819580078,56.16246032714844,34.64763641357422
2015-12-09,46.08062744140625,81.49506378173828,64.66350555419922,55.65757369995117,34.35093307495117
2015-12-10,46.04804229736328,81.48003387451172,64.716552734375,55.8287239074707,34.334442138671875
2015-12-11,45.15983200073242,81.68296813964844,63.60298156738281,54.71624755859375,33.92235565185547
2015-12-14,45.32280349731445,81.29973602294922,64.26581573486328,55.08422088623047,34.161380767822266
2015-12-15,45.77098083496094,81.30719757080078,64.64582824707031,55.589107513427734,34.4498291015625
2015-12-16,46.56955337524414,81.16442108154297,65.66214752197266,56.29081344604492,34.94432067871094
2015-12-17,45.925804138183594,81.27716827392578,64.91096496582031,55.50353240966797,34.589935302734375
2015-12-18,45.27391815185547,81.45002746582031,63.9211540222168,54.47663497924805,34.095436096191406
2015-12-21,45.626155853271484,81.37487030029297,64.48672485351562,54.95585632324219,34.32619857788086
2015-12-22,45.98086929321289,81.31475067138672,64.85791015625,55.417972564697266,34.589935302734375
2015-12-23,46.64079666137695,81.29973602294922,65.24678039550781,56.05978012084961,34.919593811035156
2015-12-24,46.58305740356445,81.33885955810547,65.08905029296875,55.99960708618164,34.88890838623047
2015-12-28,46.44282531738281,81.33885955810547,65.25739288330078,55.86212921142578,34.90550231933594
2015-12-29,46.87617492675781,81.13550567626953,66.04608154296875,56.45504379272461,35.19575500488281
2015-12-30,46.537757873535156,81.12046813964844,65.69161224365234,56.07695007324219,35.04648208618164
2015-12-31,46.07550811767578,81.33885955810547,64.94723510742188,55.48404312133789,34.68159103393555
2016-01-04,45.258331298828125,81.30874633789062,63.63572311401367,54.667720794677734,34.25035858154297
2016-01-05,45.29960632324219,81.34639739990234,63.93701171875,54.81381607055664,34.48255157470703
2016-01-06,44.6144905090332,81.65512084960938,63.60026931762695,54.160736083984375,34.26694107055664
2016-01-07,43.57444763183594,81.64759826660156,62.182411193847656,52.871822357177734,33.711299896240234
2016-01-08,43.07093811035156,81.82837677001953,61.588653564453125,52.270320892333984,33.37128829956055
2016-01-11,43.12046432495117,81.59490966796875,61.96084976196289,52.3476448059082,33.421058654785156
2016-01-12,43.401119232177734,81.77568054199219,62.6254997253418,52.88041687011719,33.59518814086914
2016-01-13,42.51790237426758,81.96387481689453,60.693634033203125,51.686004638671875,33.0644416809082
2016-01-14,43.1369743347168,81.9338607788086,61.37599182128906,52.45937728881836,33.40445327758789
2016-01-15,41.91533660888672,82.03164672851562,60.21510314941406,51.42822265625,32.97322463989258
2016-01-19,42.16297149658203,81.94884490966797,60.640464782714844,51.488365173339844,33.1971321105957
2016-01-20,41.486122131347656,82.01664733886719,60.073341369628906,50.852500915527344,32.68296813964844
2016-01-21,41.717227935791016,81.90364837646484,60.277137756347656,51.0759162902832,32.78247833251953
2016-01-22,42.77378463745117,81.96387481689453,61.464622497558594,52.18439483642578,33.40445327758789
2016-01-25,42.1381950378418,81.91871643066406,60.808868408203125,51.38525390625,33.12248992919922
2016-01-26,42.83981704711914,82.0241928100586,61.34054946899414,52.15001678466797,33.553733825683594
2016-01-27,42.48488235473633,82.03923034667969,60.427799224853516,51.49696350097656,33.36299514770508
2016-01-28,42.71600341796875,82.10697174072266,61.30508804321289,51.677406311035156,33.40445327758789
2016-01-29,43.63222885131836,82.3479995727539,62.47482681274414,52.92338180541992,34.20059585571289
2016-02-01,43.54967498779297,82.24836730957031,62.81157302856445,52.966346740722656,34.324981689453125
2016-02-02,42.62520217895508,82.49738311767578,61.91655731201172,52.08127975463867,33.968387603759766
2016-02-03,42.95538330078125,82.48982238769531,61.26963806152344,52.45937728881836,34.05131530761719
2016-02-04,43.07919692993164,82.57284545898438,60.64934539794922,52.56246566772461,33.95179748535156
2016-02-05,42.36106872558594,82.49738311767578,58.83269500732422,51.60867691040039,33.553733825683594
2016-02-08,41.66770553588867,82.81431579589844,57.49457550048828,51.0759162902832,33.24688720703125
2016-02-09,41.436588287353516,82.80679321289062,57.80473709106445,51.204811096191406,33.25518035888672
2016-02-10,41.42832946777344,83.01057434082031,58.43391036987305,51.26496124267578,33.3381233215332
2016-02-11,40.875301361083984,83.06334686279297,57.981971740722656,50.63768768310547,33.039554595947266
2016-02-12,41.593414306640625,82.83694458007812,58.77067184448242,51.53133010864258,33.49567794799805
2016-02-16,42.42710876464844,82.63322448730469,59.7808723449707,52.35624694824219,33.90203857421875
2016-02-17,43.19475555419922,82.58792877197266,60.73794937133789,53.129615783691406,34.21718215942383
2016-02-18,43.01316452026367,82.83694458007812,60.23283767700195,53.01791000366211,34.29181671142578
2016-02-19,42.938865661621094,82.85211181640625,60.578433990478516,52.966346740722656,34.31670379638672
2016-02-22,43.541439056396484,82.87468719482422,61.49119186401367,53.59361267089844,34.64841842651367
2016-02-23,42.897605895996094,82.88977813720703,61.18988800048828,53.00930404663086,34.48255157470703
2016-02-24,42.9636344909668,82.91996765136719,61.54436111450195,53.2928581237793,34.640132904052734
2016-02-25,43.425880432128906,83.13128662109375,62.47482681274414,53.85999298095703,35.063053131103516
2016-02-26,43.31856918334961,82.98035430908203,62.26217269897461,53.636573791503906,34.78941345214844
2016-02-29,43.087440490722656,83.07846069335938,61.67728042602539,53.241302490234375,34.55718994140625
2016-03-01,44.14400863647461,82.82965850830078,63.09516906738281,54.44430923461914,35.087955474853516
2016-03-02,44.42464828491211,82.73894500732422,62.97108840942383,54.538822174072266,35.19575500488281
2016-03-03,44.75481033325195,82.83724212646484,62.92677688598633,54.607582092285156,35.262107849121094
2016-03-04,45.03546142578125,82.70869445800781,62.83817672729492,54.727874755859375,35.33674240112305
